# 验证命令结果汇总（completion-02，G1 修复后重跑）
# command: python3 product/backend-api-optional-contract/receipts/evidence/completion-02/scripts/summarize-runs.py test-compile.log am107-caller-behavior.log affected-modules-test.log full-maven-test.log
# cwd: /usr/local/projects/Smart-WorkFlow   # time: 2026-09-24T11:23:35+08:00
log	command	cwd	start	end	exit_code	module_total_lines	tests	failures	errors	skipped	build
test-compile.log	env MAVEN_OPTS=-Xmx2g mvn -B -o test-compile	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	2026-09-24T11:19:47+08:00	2026-09-24T11:19:49+08:00	0	0	0	0	0	0	BUILD SUCCESS
am107-caller-behavior.log	env MAVEN_OPTS=-Xmx2g mvn -B -o test -pl sw-biz/sw-bpm/sw-bpm-engine -Dtest=DynamicBranchTaskListenerPortOutcomeTest -DfailIfNoTests=false	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	2026-09-24T11:19:49+08:00	2026-09-24T11:19:52+08:00	0	1	3	0	0	0	BUILD SUCCESS
affected-modules-test.log	env MAVEN_OPTS=-Xmx2g mvn -B -o test -pl sw-biz/sw-bpm/sw-bpm-engine,sw-biz/sw-bpm/sw-bpm-process,sw-basic/sw-basic-storage/sw-basic-storage-biz	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	2026-09-24T11:19:52+08:00	2026-09-24T11:20:12+08:00	0	3	295	0	0	0	BUILD SUCCESS
full-maven-test.log	env MAVEN_OPTS=-Xmx2g mvn -B test	/usr/local/projects/Smart-WorkFlow/Smart-WorkFlow-aPaaS-server	2026-09-24T11:20:12+08:00	2026-09-24T11:22:46+08:00	0	13	1460	0	0	0	BUILD SUCCESS
