Smart-WorkFlow :: Basic :: Agent	ch.qos.logback:logback-classic	1.5.18	compile
Smart-WorkFlow :: Basic :: Agent	ch.qos.logback:logback-core	1.5.18	compile
Smart-WorkFlow :: Basic :: Agent	cn.hutool:hutool-all	5.8.36	compile
Smart-WorkFlow :: Basic :: Agent	com.adobe.xmp:xmpcore	6.1.11	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:dynamic-datasource-creator	4.3.1	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:dynamic-datasource-spring	4.3.1	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:dynamic-datasource-spring-boot-common	4.3.1	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:dynamic-datasource-spring-boot3-starter	4.3.1	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-annotation	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-core	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-extension	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-jsqlparser	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-jsqlparser-common	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-spring	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-spring-boot-autoconfigure	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.baomidou:mybatis-plus-spring-boot3-starter	3.5.9	compile
Smart-WorkFlow :: Basic :: Agent	com.drewnoakes:metadata-extractor	2.19.0	compile
Smart-WorkFlow :: Basic :: Agent	com.epam:parso	2.0.14	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.core:jackson-annotations	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.core:jackson-core	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.core:jackson-databind	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.datatype:jackson-datatype-jdk8	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.datatype:jackson-datatype-jsr310	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.module:jackson-module-jsonSchema	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml.jackson.module:jackson-module-parameter-names	2.18.3	compile
Smart-WorkFlow :: Basic :: Agent	com.fasterxml:classmate	1.7.0	compile
