com.sw.ck:sw-basic-agent	com.healthmarketscience.jackcess:jackcess	4.0.0,4.0.8
com.sw.ck:sw-basic-agent	commons-io:commons-io	2.16.1,2.17.0,2.18.0,2.7
com.sw.ck:sw-basic-agent	commons-logging:commons-logging	1.2,1.3.4
com.sw.ck:sw-basic-agent	org.bouncycastle:bcprov-jdk18on	1.72,1.80,1.80.2
com.sw.ck:sw-basic-knowledge	com.healthmarketscience.jackcess:jackcess	4.0.0,4.0.8
com.sw.ck:sw-basic-knowledge	commons-io:commons-io	2.16.1,2.17.0,2.18.0,2.7
com.sw.ck:sw-basic-knowledge	commons-logging:commons-logging	1.2,1.3.4
com.sw.ck:sw-basic-knowledge	org.bouncycastle:bcprov-jdk18on	1.72,1.80,1.80.2
com.sw.ck:sw-basic-storage-biz	com.google.errorprone:error_prone_annotations	2.27.0,2.28.0
com.sw.ck:sw-basic-storage-biz	com.squareup.okhttp3:okhttp	3.14.4,4.12.0
com.sw.ck:sw-basic-storage-biz	com.squareup.okio:okio	1.12.0,1.6.0,3.6.0
com.sw.ck:sw-bootstrap	com.google.errorprone:error_prone_annotations	2.27.0,2.28.0
com.sw.ck:sw-bootstrap	com.healthmarketscience.jackcess:jackcess	4.0.0,4.0.8
com.sw.ck:sw-bootstrap	com.squareup.okhttp3:okhttp	3.12.13,3.14.4,4.12.0
com.sw.ck:sw-bootstrap	com.tencentcloudapi:tencentcloud-sdk-java-common	3.1.1235,3.1.213
com.sw.ck:sw-bootstrap	commons-io:commons-io	2.15.0,2.16.1,2.17.0,2.18.0,2.7
com.sw.ck:sw-bootstrap	commons-logging:commons-logging	1.2,1.3.4
com.sw.ck:sw-bootstrap	io.swagger.core.v3:swagger-annotations-jakarta	2.2.29,2.2.30
com.sw.ck:sw-bootstrap	joda-time:joda-time	2.13.0,2.9.9
com.sw.ck:sw-bootstrap	org.antlr:antlr4-runtime	4.13.1,4.13.2
com.sw.ck:sw-bootstrap	org.apache.commons:commons-compress	1.25.0,1.26.2,1.27.1
com.sw.ck:sw-bootstrap	org.apache.poi:poi	5.2.5,5.4.0
com.sw.ck:sw-bootstrap	org.apache.poi:poi-ooxml	5.2.5,5.4.0
com.sw.ck:sw-bootstrap	org.bouncycastle:bcprov-jdk18on	1.72,1.78.1,1.80,1.80.2
