consumer_module	heavy_class	heavy_artifact	artifact_scope	entry_from	chain
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-audiovideo-module:jar:3.1.0	compile	org.apache.tika:tika-parser-audiovideo-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-audiovideo-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-cad-module:jar:3.1.0	compile	org.apache.tika:tika-parser-cad-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-cad-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-code-module:jar:3.1.0	compile	org.apache.tika:tika-parser-code-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-code-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-crypto-module:jar:3.1.0	compile	org.apache.tika:tika-parser-crypto-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-crypto-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-digest-commons:jar:3.1.0	compile	org.apache.tika:tika-parser-digest-commons:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-digest-commons:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-font-module:jar:3.1.0	compile	org.apache.tika:tika-parser-font-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-font-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-html-module:jar:3.1.0	compile	org.apache.tika:tika-parser-html-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-html-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-image-module:jar:3.1.0	compile	org.apache.tika:tika-parser-image-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-image-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-mail-commons:jar:3.1.0	compile	org.apache.tika:tika-parser-mail-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-mail-module:jar:3.1.0 > org.apache.tika:tika-parser-mail-commons:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-mail-module:jar:3.1.0	compile	org.apache.tika:tika-parser-mail-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-mail-module:jar:3.1.0
